,location,total_sqft,bath,balcony,price,bhk
1428,Chamrajpet,650.0,2.0,2.0,45.0,2.0
1429,Chamrajpet,1650.0,3.0,2.0,115.0,3.0
1430,Chandapura,650.0,1.0,1.0,17.0,2.0
1431,Chandapura,645.0,1.0,1.0,16.45,1.0
1432,Chandapura,645.0,1.0,1.0,16.45,1.0
1434,Chandapura,1015.0,2.0,2.0,25.88,2.0
1435,Chandapura,1208.0,3.0,1.0,45.0,3.0
1437,Chandapura,1200.0,2.0,2.0,32.0,2.0
1438,Chandapura,1025.0,2.0,2.0,27.68,2.0
1439,Chandapura,582.5,1.0,0.0,15.135,1.0
1440,Chandapura,1015.0,2.0,2.0,25.88,2.0
1442,Chandapura,1065.0,2.0,1.0,33.0,3.0
1444,Chandapura,1500.0,2.0,1.0,60.0,2.0
1445,Chandapura,850.0,2.0,1.0,25.4,2.0
1446,Chandapura,590.0,1.0,0.0,13.57,1.0
1448,Chandapura,1015.0,2.0,2.0,25.88,2.0
1449,Chandapura,1107.0,2.0,1.0,43.0,3.0
1450,Chandapura,520.0,1.0,1.0,14.04,1.0
1451,Chandapura,1200.0,1.0,1.0,36.0,2.0
1452,Chandapura,975.0,2.0,1.0,24.86,2.0
1453,Chandapura,645.0,1.0,1.0,16.45,1.0
1454,Chandapura,985.0,2.0,1.0,25.12,2.0
1455,Chandapura,700.0,1.0,1.0,19.0,2.0
1457,Chandapura,1095.0,2.0,2.0,32.0,3.0
1458,Chandapura,1891.0,2.708601981443623,1.5823075660594124,66.165,4.0
1459,Chandapura,1208.51,3.0,2.0,42.0,3.0
1460,Chandapura,876.0,2.0,2.0,29.5,2.0
1463,Chandapura,937.0,2.0,1.0,30.0,2.0
1464,Chandapura,1025.0,2.0,2.0,27.68,2.0
1465,Chandapura,975.0,2.0,1.0,24.86,2.0
1466,Chandapura,800.0,2.0,1.0,25.0,2.0
1467,Chandapura,778.0,2.0,0.0,25.29,2.0
1469,Chandapura,950.0,2.0,1.0,25.65,2.0
1470,Chandapura,1200.0,2.0,1.0,36.0,2.0
1471,Chandapura,922.0,2.0,1.0,36.0,2.0
1473,Chandapura,674.0,1.0,1.0,19.9,2.0
1479,Chandapura,1345.0,2.0,2.0,39.5,3.0
1480,Chandapura,1033.0,2.0,2.0,30.47,3.0
1481,Chandapura,971.0,2.0,2.0,38.0,3.0
1482,Chandapura,1015.0,2.0,2.0,25.88,2.0
1483,Chandapura,800.0,1.0,2.0,30.0,2.0
1484,Chandapura,900.0,2.0,3.0,35.0,2.0
1486,Chandapura,1323.0,2.0,1.0,42.0,3.0
1487,Chandapura,410.0,1.0,1.0,10.0,1.0
1488,Chandapura,985.0,2.0,1.0,25.12,2.0
1489,Chandapura,740.0,1.0,1.0,22.0,2.0
1490,Chandapura,876.0,2.0,2.0,28.47,2.0
1492,Chandapura,520.0,1.0,1.0,14.04,1.0
1494,Channasandra,1009.0,2.0,1.0,38.34,2.0
1495,Channasandra,1065.0,2.0,1.0,35.0,2.0
1496,Channasandra,1470.0,2.0,1.0,90.0,3.0
1497,Channasandra,1115.0,2.0,1.0,33.45,2.0
1498,Channasandra,1030.0,2.0,1.0,34.5,2.0
1499,Channasandra,4200.0,6.0,0.0,180.0,6.0
1500,Channasandra,1115.0,2.0,1.0,40.0,2.0
1501,Channasandra,1200.0,3.0,1.0,67.77,3.0
1502,Channasandra,1104.0,2.0,1.0,35.5,2.0
1503,Channasandra,1160.0,2.0,1.0,55.0,2.0
1504,Channasandra,1050.0,2.0,2.0,41.0,2.0
1505,Channasandra,1065.0,2.0,1.0,40.47,2.0
1507,Channasandra,1070.0,2.0,1.0,38.0,2.0
1508,Channasandra,1050.0,2.0,1.0,35.0,2.0
1509,Channasandra,1093.0,2.0,1.0,34.0,2.0
1510,Channasandra,808.0,2.0,1.0,40.0,2.0
1511,Channasandra,1010.0,2.0,1.0,36.0,2.0
1512,Channasandra,1123.0,2.0,1.0,36.0,2.0
1513,Channasandra,1000.0,2.0,2.0,35.0,2.0
1514,Channasandra,1500.0,4.0,1.0,89.45,4.0
1515,Channasandra,1330.0,2.0,2.0,51.83,3.0
1516,Channasandra,1093.0,2.0,1.0,37.0,2.0
1517,Channasandra,1115.0,2.0,1.0,35.8,2.0
1518,Channasandra,1500.0,3.0,1.0,61.95,3.0
1520,Channasandra,830.0,2.0,1.0,36.28,2.0
1521,Channasandra,1200.0,3.0,1.0,67.77,3.0
1522,Channasandra,1195.0,2.0,1.0,56.0,3.0
1523,Channasandra,1175.0,2.0,2.0,38.0,2.0
1524,Channasandra,1200.0,2.0,1.0,46.13,2.0
1525,Channasandra,1065.0,2.0,1.0,36.0,2.0
1526,Channasandra,1050.0,2.0,1.0,44.41,2.0
1527,Channasandra,1010.0,2.0,1.0,32.0,2.0
1528,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4.0
1529,Chikka Tirupathi,2325.0,4.0,1.0,120.0,4.0
1530,Chikka Tirupathi,1808.0,4.0,2.0,80.27,3.0
1531,Chikka Tirupathi,3297.0,3.0,1.0,135.0,3.0
1532,Chikka Tirupathi,3500.0,5.0,3.0,150.0,4.0
1533,Chikka Tirupathi,2646.0,3.0,1.5823075660594124,99.0,3.0
1534,Chikka Tirupathi,2704.0,5.0,0.0,105.0,4.0
1535,Chikka Tirupathi,2325.0,3.0,1.5823075660594124,95.0,3.0
1536,Chikka Tirupathi,3250.0,4.0,2.0,136.0,4.0
1537,Chikka Tirupathi,2665.0,5.0,3.0,125.0,4.0
1538,Chikkabanavar,950.0,2.0,1.0,40.0,2.0
1539,Chikkabanavar,1600.0,2.0,0.0,80.0,3.0
1540,Chikkabanavar,600.0,1.0,2.0,25.0,2.0
1541,Chikkabanavar,2460.0,7.0,2.0,80.0,4.0
1542,Chikkabanavar,2400.0,4.0,0.0,97.0,5.0
1543,Chikkabanavar,2000.0,4.0,0.0,65.0,5.0
1544,Chikkabanavar,1067.0,2.0,1.0,38.0,2.0
1545,Chikkabanavar,1320.0,2.0,2.0,46.0,3.0
1546,Chikkabanavar,4000.0,7.0,0.0,110.0,8.0
1548,Chikkalasandra,1100.0,2.0,2.0,50.0,2.0
1549,Chikkalasandra,1208.0,2.0,1.0,49.0,2.0
1550,Chikkalasandra,875.0,2.0,3.0,52.8,2.0
1552,Chikkalasandra,1800.0,1.0,1.0,128.0,2.0
1553,Chikkalasandra,1070.0,2.0,2.0,50.0,2.0
1554,Chikkalasandra,1230.0,2.0,2.0,48.0,2.0
1555,Chikkalasandra,1428.0,2.0,1.0,80.0,3.0
1556,Chikkalasandra,1070.0,2.0,1.0,42.8,2.0
1560,Chikkalasandra,1075.0,2.0,1.0,46.76,2.0
1562,Chikkalasandra,1070.0,2.0,1.0,45.48,2.0
1563,Chikkalasandra,1100.0,2.0,2.0,50.0,2.0
1566,Chikkalasandra,1224.0,2.0,2.0,45.0,2.0
1567,Chikkalasandra,1090.0,2.0,1.0,47.42,2.0
1570,Chikkalasandra,1325.0,2.0,1.0,59.0,2.0
1571,Chikkalasandra,1290.0,2.0,2.0,72.0,2.0
1574,Choodasandra,1115.0,2.0,2.0,50.0,2.0
1575,Choodasandra,1300.0,2.0,3.0,57.0,2.0
1576,Choodasandra,1530.0,3.0,2.0,77.0,3.0
1578,Choodasandra,1197.0,2.0,1.0,63.0,2.0
1579,Choodasandra,1465.0,3.0,3.0,75.0,3.0
1580,Choodasandra,1115.0,2.0,1.0,50.0,2.0
1581,Choodasandra,1215.0,2.0,2.0,59.0,2.0
1582,Choodasandra,1254.0,2.0,1.0,65.0,3.0
1583,Choodasandra,1580.0,3.0,3.0,105.0,3.0
1584,Choodasandra,725.0,2.0,2.0,36.0,2.0
1585,Choodasandra,2429.0,3.0,1.0,210.0,4.0
1586,Choodasandra,1075.0,2.0,2.0,45.0,2.0
1587,Choodasandra,1180.0,2.0,1.0,71.22,2.0
1588,Choodasandra,1140.0,2.0,2.0,62.0,2.0
1590,Choodasandra,1560.0,3.0,2.0,78.0,3.0
1591,Choodasandra,1065.0,2.0,1.0,46.0,2.0
1592,Cooke Town,3950.0,4.0,1.5823075660594124,450.0,4.0
1593,Cooke Town,2388.0,4.0,3.0,239.0,3.0
1594,Cooke Town,1710.0,2.0,2.0,200.0,2.0
1595,Cooke Town,1310.0,2.0,2.0,111.0,2.0
1596,Cooke Town,3900.0,5.0,1.5823075660594124,415.0,4.0
1597,Cooke Town,2560.0,4.0,1.5823075660594124,310.0,3.0
1598,Cooke Town,2600.0,3.0,1.0,375.0,3.0
1599,Cooke Town,1100.0,2.0,3.0,90.0,2.0
1600,Cooke Town,2300.0,3.0,1.0,250.0,3.0
1601,Cox Town,1975.0,3.0,3.0,150.0,3.0
1602,Cox Town,1650.0,3.0,3.0,100.0,3.0
1603,Cox Town,1730.0,3.0,3.0,140.0,3.0
1604,Cox Town,1600.0,3.0,1.0,150.0,3.0
1605,Cox Town,1250.0,2.0,2.0,95.0,2.0
1606,Cox Town,1280.0,2.0,1.0,120.0,2.0
1607,Cox Town,1073.0,2.0,2.0,72.0,2.0
1608,Cox Town,1000.0,2.0,3.0,58.0,2.0
1609,Cox Town,1200.0,2.0,2.0,140.0,2.0
1610,Cunningham Road,5270.0,4.0,3.0,1250.0,4.0
1611,Cunningham Road,3875.0,3.0,2.0,864.0,3.0
1612,Cunningham Road,3875.0,3.0,2.0,800.0,3.0
1613,Cunningham Road,3815.0,3.0,1.0,763.0,3.0
1614,Cunningham Road,2880.0,3.0,2.0,501.0,3.0
1615,Cunningham Road,3489.0,3.0,1.0,662.0,3.0
1616,Cunningham Road,4170.0,3.0,2.0,800.0,3.0
1618,Cunningham Road,2700.0,3.0,1.0,501.0,3.0
1619,Cunningham Road,7500.0,6.0,2.0,1800.0,4.0
1620,Cunningham Road,2880.0,3.0,2.0,560.0,3.0
1621,Dairy Circle,1855.0,3.0,1.0,225.0,3.0
1622,Dairy Circle,1980.0,3.0,2.0,224.0,3.0
1623,Dairy Circle,3730.0,6.0,2.0,450.0,4.0
1624,Dairy Circle,3754.0,6.0,2.0,430.0,4.0
1625,Dairy Circle,3754.0,6.0,2.0,480.0,4.0
1626,Dairy Circle,1541.0,2.0,1.0,181.0,2.0
1627,Dairy Circle,2735.0,4.0,2.0,340.0,3.0
1628,Dairy Circle,3730.0,6.0,2.0,430.0,4.0
1629,Dasanapura,708.0,2.0,2.0,37.0,2.0
1630,Dasanapura,708.0,1.0,1.0,40.0,2.0
1631,Dasanapura,965.0,2.0,1.0,42.5,2.0
1633,Dasanapura,814.0,2.0,1.0,42.0,2.0
1634,Dasanapura,1163.0,2.0,1.0,65.0,2.0
1635,Dasanapura,1286.0,2.0,1.0,68.0,3.0
1636,Dasanapura,708.0,2.0,1.0,31.15,2.0
1637,Dasanapura,708.0,1.0,1.0,41.0,1.0
1638,Dasanapura,814.0,2.0,1.0,43.7,2.0
1639,Dasarahalli,1295.0,2.0,1.0,65.0,2.0
1641,Dasarahalli,1150.0,2.0,0.0,70.0,2.0
1642,Dasarahalli,2100.0,3.0,3.0,120.0,3.0
1643,Dasarahalli,1220.0,2.0,2.0,52.0,2.0
1644,Dasarahalli,1375.0,2.0,1.0,60.0,2.0
1645,Dasarahalli,1333.0,2.0,1.0,78.56,2.0
1646,Dasarahalli,1220.0,2.0,2.0,62.0,2.0
1647,Devanahalli,3210.0,2.708601981443623,1.5823075660594124,192.0,4.0
1648,Devanahalli,1260.0,2.0,2.0,66.78,2.0
1649,Devanahalli,1282.0,2.0,2.0,68.52,3.0
1650,Devanahalli,1360.0,2.0,1.0,65.0,2.0
1652,Devanahalli,1408.0,2.0,2.0,85.0,2.0
1653,Devanahalli,1010.0,2.0,1.0,51.0,2.0
1654,Devanahalli,1080.0,2.0,0.0,53.35,2.0
1655,Devanahalli,2400.0,5.0,3.0,100.0,5.0
1658,Devanahalli,1174.0,2.0,1.0,59.0,2.0
1659,Devanahalli,3752.5,2.708601981443623,1.5823075660594124,177.115,2.817847358121331
1660,Devanahalli,658.0,1.0,1.0,34.0,1.0
1661,Devanahalli,658.0,1.0,0.0,26.91,1.0
1662,Devanahalli,698.5,1.0,0.0,28.57,1.0
1663,Devanahalli,1080.0,2.0,1.0,52.0,2.0
1664,Devanahalli,1700.0,3.0,0.0,88.2,3.0
1665,Devanahalli,1498.0,3.0,3.0,79.15,3.0
1666,Devanahalli,1466.0,3.0,3.0,77.59,3.0
1667,Devanahalli,775.0,1.0,0.0,39.0,1.0
1668,Devanahalli,1020.0,2.0,1.0,49.87,1.0
1670,Devanahalli,1550.0,3.0,1.0,85.0,3.0
1672,Devanahalli,1340.0,2.0,1.0,65.0,2.0
1673,Devanahalli,2125.0,3.0,1.0,107.0,3.0
1676,Devanahalli,658.0,1.0,1.0,26.91,1.0
1678,Devanahalli,1010.0,2.0,1.0,58.0,2.0
1681,Devanahalli,1075.0,2.708601981443623,1.5823075660594124,52.57,1.0
1683,Devarachikkanahalli,1250.0,2.0,2.0,40.0,2.0
1684,Devarachikkanahalli,1200.0,2.0,2.0,83.0,2.0
1685,Devarachikkanahalli,1170.0,2.0,2.0,40.0,2.0
1686,Devarachikkanahalli,615.0,1.0,1.0,24.0,1.0
1687,Devarachikkanahalli,1230.0,2.0,1.0,58.0,2.0
1688,Devarachikkanahalli,1425.0,2.0,2.0,65.0,3.0
1689,Devarachikkanahalli,947.0,2.0,2.0,43.0,2.0
1690,Devarachikkanahalli,1130.0,2.0,2.0,36.0,2.0
1691,Devarachikkanahalli,1417.0,2.0,2.0,76.0,3.0
1692,Devarachikkanahalli,1230.0,2.0,1.0,58.0,2.0
1693,Devarachikkanahalli,1705.0,3.0,2.0,75.0,3.0
1694,Devarachikkanahalli,1116.0,2.0,1.0,47.0,2.0
1695,Devarachikkanahalli,991.0,2.0,2.0,40.0,2.0
1697,Dodda Nekkundi,1260.0,2.0,2.0,55.0,2.0
1698,Dodda Nekkundi,850.0,2.0,3.0,28.0,2.0
1699,Dodda Nekkundi,1390.0,2.0,2.0,60.0,2.0
1700,Dodda Nekkundi,1804.0,3.0,2.0,121.0,3.0
1701,Dodda Nekkundi,1080.0,2.0,2.0,50.0,2.0
1702,Dodda Nekkundi,1999.0,3.0,2.0,132.0,3.0
1703,Dodda Nekkundi,1100.0,2.0,2.0,48.0,2.0
1704,Dodda Nekkundi,1999.0,3.0,2.0,135.0,3.0
1705,Dodda Nekkundi,1100.0,2.0,1.0,41.15,2.0
1706,Dodda Nekkundi,1252.0,2.0,1.0,71.0,3.0
1707,Dodda Nekkundi,1155.0,2.0,1.0,46.0,2.0
1708,Dodda Nekkundi,1128.0,2.0,2.0,45.0,2.0
1709,Dodda Nekkundi,1148.0,2.0,1.0,56.0,2.0
1711,Dodda Nekkundi,1145.0,2.0,1.0,46.5,2.0
1712,Dodda Nekkundi,1829.0,3.0,2.0,125.0,3.0
1713,Dodda Nekkundi,1100.0,2.0,1.0,41.16,2.0
1714,Dodda Nekkundi,1100.0,2.0,1.0,46.75,2.0
1715,Dodda Nekkundi,1315.0,2.0,2.0,50.0,2.0
1716,Dodda Nekkundi,1135.0,2.0,2.0,58.0,2.0
1717,Dodda Nekkundi,1100.0,2.0,1.0,41.18,2.0
1718,Dodda Nekkundi,1370.0,2.0,2.0,60.0,2.0
1719,Dodda Nekkundi,1200.0,2.0,2.0,71.0,2.0
1720,Dodda Nekkundi,1585.0,2.0,2.0,79.0,3.0
1721,Dodda Nekkundi,1005.0,2.0,2.0,45.0,2.0
1722,Dodda Nekkundi,1264.0,2.0,1.5823075660594124,52.0,2.0
1723,Doddaballapur,1690.0,3.0,2.0,80.0,4.0
1724,Doddaballapur,4200.0,4.0,3.0,325.0,4.0
1725,Doddaballapur,3876.0,3.0,1.0,300.0,3.0
1726,Doddaballapur,2776.0,4.0,2.0,195.0,3.0
1727,Doddaballapur,2440.0,3.0,1.0,142.0,3.0
1728,Doddaballapur,2400.0,3.0,0.0,200.0,4.0
1729,Doddaballapur,654.0,1.0,1.0,49.0,1.0
1730,Doddaballapur,3206.0,5.0,1.5823075660594124,270.0,4.0
1731,Doddakallasandra,1010.0,2.0,1.0,40.39,2.0
1732,Doddakallasandra,1360.0,2.0,2.0,54.39,3.0
1733,Doddakallasandra,1460.0,2.0,2.0,58.39,3.0
1734,Doddakallasandra,1360.0,2.0,2.0,54.4,3.0
1735,Doddakallasandra,1425.0,2.0,2.0,56.99,3.0
1736,Doddakallasandra,1072.0,2.0,1.0,42.87,2.0
1737,Doddakallasandra,1010.0,2.0,1.0,40.4,2.0
1738,Doddakallasandra,1010.0,2.0,1.0,41.0,2.0
1739,Doddathoguru,970.0,2.0,0.0,33.0,2.0
1740,Doddathoguru,1050.0,2.0,1.0,32.0,2.0
1741,Doddathoguru,1030.0,2.0,2.0,42.0,2.0
1742,Doddathoguru,1549.0,3.0,2.0,65.0,3.0
1743,Doddathoguru,550.0,1.0,1.0,17.0,1.0
1744,Doddathoguru,1015.0,2.0,2.0,33.5,2.0
1745,Doddathoguru,1104.0,2.0,2.0,39.0,2.0
1746,Doddathoguru,915.0,2.0,1.0,32.0,2.0
1747,Doddathoguru,750.0,1.0,1.0,25.5,1.0
1748,Doddathoguru,1595.0,3.0,3.0,62.0,3.0
1749,Doddathoguru,855.0,2.0,1.0,32.0,2.0
1750,Doddathoguru,1105.0,2.0,1.0,50.0,2.0
1751,Doddathoguru,925.0,2.0,2.0,30.0,2.0
1754,Doddathoguru,1100.0,2.0,2.0,50.0,2.0
1755,Doddathoguru,940.0,2.0,1.0,32.9,2.0
1756,Doddathoguru,1382.0,3.0,1.0,65.0,3.0
1757,Doddathoguru,1107.0,2.0,3.0,44.0,2.0
1758,Doddathoguru,907.0,2.0,1.0,40.0,2.0
1759,Doddathoguru,1783.0,3.0,3.0,85.0,3.0
1760,Dodsworth Layout,30000.0,4.0,1.5823075660594124,2100.0,4.0
1761,Dodsworth Layout,1400.0,2.0,2.0,80.0,2.0
1762,Dodsworth Layout,1717.0,3.0,3.0,99.0,3.0
1763,Dodsworth Layout,1594.0,3.0,2.0,99.0,3.0
1764,Dodsworth Layout,1893.0,3.0,2.0,115.0,3.0
1765,Dodsworth Layout,1400.0,2.0,3.0,85.0,2.0
1766,Dodsworth Layout,30400.0,4.0,2.0,1824.0,6.0
1767,Domlur,1540.0,3.0,2.0,90.0,3.0
1768,Domlur,1875.0,2.0,2.0,150.0,3.0
1769,Domlur,1429.0,3.0,3.0,86.0,3.0
1770,Domlur,640.0,1.0,0.0,55.0,1.0
1771,Domlur,1050.0,2.0,2.0,85.0,2.0
1772,Domlur,1800.0,3.0,2.0,150.0,3.0
1773,Domlur,1720.0,3.0,1.0,135.0,3.0
1774,Domlur,1950.0,3.0,3.0,165.0,3.0
1775,Domlur,2180.0,3.0,2.0,285.0,3.0
1776,Domlur,650.0,1.0,1.0,70.0,1.0
1777,Domlur,780.0,1.0,1.0,70.0,1.0
1778,Domlur,2180.0,3.0,2.0,285.0,3.0
1779,Domlur,1740.0,3.0,0.0,120.0,3.0
1780,Domlur,1695.0,3.0,2.0,125.0,3.0
1781,Domlur,1246.0,2.0,1.0,95.0,2.0
1782,Domlur,2100.0,3.0,2.0,145.0,3.0
1783,Domlur,1276.0,2.0,2.0,80.0,2.0
1784,Domlur,1850.0,3.0,1.0,180.0,3.0
1785,Domlur,2955.0,3.0,1.5823075660594124,235.0,3.0
1786,Domlur,1650.0,3.0,1.0,180.0,3.0
1787,Dommasandra,805.0,2.0,1.0,22.14,2.0
1789,Dommasandra,1267.0,3.0,2.0,56.0,3.0
1790,Dommasandra,1200.0,2.0,2.0,50.0,2.0
1791,Dommasandra,2700.0,3.0,2.0,68.0,4.0
1793,Dommasandra,1153.0,2.0,2.0,43.5,2.0
1794,Dommasandra,1500.0,2.0,0.0,40.0,2.0
1795,Dommasandra,1090.0,2.0,2.0,43.5,2.0
1796,Dommasandra,850.0,2.0,1.0,25.4,2.0
1797,Dommasandra,674.0,1.0,1.0,19.9,2.0
1798,Dommasandra,999.0,2.0,2.0,32.9,2.0
1799,EPIP Zone,1499.0,5.0,2.0,102.0,3.0
1800,EPIP Zone,1285.0,2.0,2.0,82.0,2.0
1801,EPIP Zone,2330.0,3.0,2.0,162.0,3.0
1802,EPIP Zone,1330.0,2.0,1.0,92.5,2.0
1803,EPIP Zone,1330.0,2.0,1.0,86.98,2.0
1804,EPIP Zone,1330.0,2.0,1.0,93.36,2.0
1806,EPIP Zone,1500.0,3.0,3.0,102.0,3.0
1807,EPIP Zone,1280.0,2.0,1.0,69.0,2.0
1808,EPIP Zone,1125.0,2.0,1.0,65.0,2.0
1809,EPIP Zone,1734.0,3.0,3.0,125.0,3.0
1811,EPIP Zone,1343.0,2.0,2.0,86.0,2.0
1812,EPIP Zone,2350.0,4.0,2.0,163.0,3.0
1813,EPIP Zone,1860.0,3.0,2.0,130.0,3.0
1814,EPIP Zone,2210.0,3.0,3.0,165.0,3.0
1815,EPIP Zone,2710.0,3.0,2.0,177.0,3.0
1818,Electronic City,1025.0,2.0,1.0,47.0,3.0
1821,Electronic City,1500.0,2.0,1.0,64.5,3.0
1822,Electronic City,1060.0,2.0,1.0,60.0,2.0
1823,Electronic City,1152.0,2.0,1.0,64.5,2.0
1825,Electronic City,770.0,1.0,1.0,36.0,2.0
1826,Electronic City,1070.0,2.0,1.0,52.0,2.0
1827,Electronic City,1025.0,2.0,1.0,46.0,2.0
1828,Electronic City,589.0,1.0,1.0,27.0,1.0
1830,Electronic City,910.0,2.0,1.0,40.0,2.0
1831,Electronic City,1108.0,2.0,1.0,63.0,2.0
1832,Electronic City,1128.0,2.0,1.0,65.0,2.0
1833,Electronic City,1800.0,3.0,2.0,95.0,3.0
1834,Electronic City,630.0,1.0,1.0,34.65,1.0
1835,Electronic City,1128.0,2.0,1.0,63.0,2.0
1836,Electronic City,1599.0,3.0,2.0,99.0,3.0
1839,Electronic City,1070.0,2.0,1.0,55.0,2.0
1840,Electronic City,940.0,2.0,1.0,41.0,2.0
1842,Electronic City,1128.0,2.0,1.0,68.75,2.0
1843,Electronic City,1342.0,2.0,1.0,73.3,2.0
1844,Electronic City,1360.0,2.0,1.0,71.0,3.0
1846,Electronic City,1265.0,2.0,0.0,56.93,2.0
1847,Electronic City,1691.0,2.0,2.0,102.0,3.0
1848,Electronic City,1128.0,2.0,1.0,65.49,2.0
1851,Electronic City,1070.0,2.0,1.0,56.1,2.0
1852,Electronic City,2000.0,4.0,0.0,120.0,4.0
1853,Electronic City,890.0,2.0,2.0,45.0,2.0
1854,Electronic City,1128.0,2.0,1.0,65.65,2.0
1855,Electronic City,865.0,2.0,0.0,42.0,2.0
1857,Electronic City,910.0,2.0,2.0,42.0,2.0
1859,Electronic City,1360.0,2.0,1.0,75.0,3.0
1860,Electronic City,770.0,1.0,1.0,40.0,2.0
1861,Electronic City,1128.0,2.0,1.0,64.0,2.0
1862,Electronic City,1070.0,2.0,1.0,54.0,2.0
1864,Electronic City,1571.0,3.0,2.0,89.0,3.0
1865,Electronic City,1111.0,3.0,1.0,50.0,3.0
1866,Electronic City,870.0,2.0,1.0,39.5,2.0
1868,Electronic City,1374.0,2.0,1.0,72.0,3.0
1870,Electronic City,1128.0,2.0,1.0,65.35,2.0
1871,Electronic City,755.0,1.0,1.0,34.0,2.0
1875,Electronic City,1563.0,3.0,2.0,91.84,3.0
1878,Electronic City,1025.0,2.0,1.0,54.5,2.0
1880,Electronic City,1350.0,3.0,2.0,58.0,3.0
1883,Electronic City,1700.0,3.0,2.0,75.0,3.0
1885,Electronic City,1128.0,2.0,1.0,68.0,2.0
1886,Electronic City,700.0,1.0,1.0,35.0,1.0
1887,Electronic City,1360.0,2.0,1.0,70.5,3.0
1889,Electronic City,1571.0,3.0,2.0,105.0,3.0
1893,Electronic City,1600.0,3.0,2.0,104.0,3.0
1895,Electronic City,1500.0,2.0,1.0,100.0,3.0
1899,Electronic City,1152.0,2.0,1.0,65.0,2.0
1900,Electronic City,1070.0,2.0,1.0,60.0,2.0
1901,Electronic City,1128.0,2.0,1.0,65.5,2.0
1902,Electronic City,1200.0,2.0,1.0,59.0,2.0
1903,Electronic City,1152.0,2.0,1.0,65.75,2.0
1905,Electronic City,1070.0,2.0,1.0,55.0,2.0
1906,Electronic City,1060.0,2.0,1.0,58.0,2.0
1907,Electronic City,1025.0,2.0,1.0,54.1,2.0
1912,Electronic City,1500.0,2.0,1.0,78.0,3.0
1913,Electronic City,1213.0,2.0,1.0,59.32,2.0
1914,Electronic City,1575.0,3.0,2.0,90.0,3.0
1915,Electronic City,435.0,1.0,1.0,19.5,1.0
1916,Electronic City,1449.0,3.0,2.0,100.0,3.0
1918,Electronic City,1125.0,2.0,1.0,58.0,2.0
1920,Electronic City,1575.0,3.0,3.0,101.0,3.0
1922,Electronic City,550.0,1.0,1.0,12.0,1.0
1923,Electronic City,919.0,2.0,2.0,40.0,2.0
1924,Electronic City,1500.0,2.0,1.0,78.25,3.0
1925,Electronic City,1363.0,2.0,1.0,79.0,2.0
1928,Electronic City,1108.0,2.0,1.0,67.15,2.0
1930,Electronic City,1128.0,2.0,1.0,65.7,2.0
1932,Electronic City,1060.0,2.0,1.0,51.0,2.0
1934,Electronic City,1650.0,3.0,2.0,100.0,3.0
1936,Electronic City,1025.0,2.0,1.0,49.0,2.0
1938,Electronic City,1449.0,3.0,2.0,90.0,3.0
1940,Electronic City,1070.0,2.0,1.0,58.0,2.0
1941,Electronic City,1210.0,2.0,1.0,54.0,2.0
1942,Electronic City,1500.0,2.0,1.0,75.0,3.0
1944,Electronic City,2435.0,4.0,3.0,119.0,4.0
1949,Electronic City,1073.0,2.0,2.0,60.0,2.0
1950,Electronic City,1500.0,2.0,1.0,78.0,3.0
1951,Electronic City,1070.0,2.0,1.0,47.0,2.0
1952,Electronic City,1296.0,2.0,2.0,65.0,2.0
1953,Electronic City,1140.0,2.0,1.0,70.93,2.0
1958,Electronic City,2093.0,4.0,1.0,104.0,4.0
1959,Electronic City,1025.0,2.0,1.0,53.9,2.0
1960,Electronic City,940.0,2.0,1.0,54.0,2.0
1961,Electronic City,435.0,1.0,1.0,21.0,1.0
1962,Electronic City,1500.0,2.0,1.0,77.5,3.0
1963,Electronic City,1631.0,3.0,2.0,80.0,3.0
1964,Electronic City,1355.0,2.0,1.0,67.0,2.0
1967,Electronic City,435.0,1.0,1.0,22.0,1.0
1969,Electronic City,1039.0,2.0,1.0,50.0,2.0
1970,Electronic City,770.0,1.0,1.0,39.9,2.0
1972,Electronic City,1128.0,2.0,1.0,64.0,2.0
1973,Electronic City,605.0,1.0,0.0,13.31,1.0
1975,Electronic City,530.0,1.0,1.0,13.5,1.0
1976,Electronic City,1070.0,2.0,1.0,53.0,2.0
1979,Electronic City,1571.0,3.0,2.0,83.0,3.0
1981,Electronic City,1350.0,3.0,2.0,66.0,3.0
1982,Electronic City,1652.0,3.0,3.0,110.0,3.0
1986,Electronic City,1128.0,2.0,1.0,65.58,2.0
1987,Electronic City,1355.0,2.0,1.0,97.6,2.0
1988,Electronic City,635.0,1.0,1.0,28.0,1.0
1989,Electronic City,1128.0,2.0,1.0,65.4,2.0
1992,Electronic City,1355.0,2.0,1.0,72.9,2.0
1995,Electronic City,1609.0,3.0,3.0,115.0,3.0
1996,Electronic City,770.0,1.0,1.0,35.0,2.0
1998,Electronic City,865.0,2.0,1.0,40.0,2.0
2001,Electronic City,1108.0,2.0,1.0,63.0,2.0
2002,Electronic City,630.0,1.0,1.0,40.5,1.0
2005,Electronic City,605.0,1.0,1.0,22.0,1.0
2007,Electronic City,1070.0,2.0,1.0,48.0,2.0
2009,Electronic City,1360.0,2.0,1.0,70.0,3.0
2010,Electronic City,635.0,1.0,0.0,28.0,1.0
2011,Electronic City,1128.0,2.0,1.0,65.45,2.0
